CICLO,ENTE,RAMO,SUBRAMO,PROGRAMA,PRESUPUESTO,GC_SERVICIOS_PERSONALES,GC_GASTO_DE_OPERACIÓN,GC_SUBSIDIOS,GC_OTROS_DE_CORRIENTE,GC_SUMA,GI_INVERSIÓN_FÍSICA,GI_SUBSIDIOS,GI_OTROS_DE_INVERSIÓN,GI_SUMA,TOTAL,PORCENTAJE_CORRIENTE,PORCENTAJE_INVERSIÓN
2015,Poder Legislativo,,,TOTAL,Aprobado,8009132829.0,3679221536.0,1001241000.0,45588466.0,12735183831.0,663154010.0,0.0,0.0,663154010.0,13398337841.0,95.05047553010124,4.949524469898758
2015,Poder Legislativo,,,TOTAL,Modificado,8738355318.36,3763771478.27,1045523980.24,41259857.75,13588910634.62,574108578.07,0.0,135000000.0,709108578.07,14298019212.69,95.04051178333401,4.95948821666599
2015,Poder Legislativo,,,TOTAL,Devengado,8735910085.42,3763006031.37,1045523980.24,41259857.75,13585699954.78,574108578.07,0.0,135000000.0,709108578.07,14294808532.85,95.03939785943658,4.960602140563424
2015,Poder Legislativo,,,TOTAL,Ejercicio,8735910085.42,3763006031.37,1045523980.24,41259857.75,13585699954.78,574108578.07,0.0,135000000.0,709108578.07,14294808532.85,95.03939785943658,4.960602140563424
2015,Poder Legislativo,,,TOTAL,Porcentaje Ejer/Aprob,109.07435638710395,102.27723431574303,104.4228093176368,90.50503640548028,106.67847543519295,86.57243557495792,0.0,0.0,106.92969768364968,106.69090974185416,,
2015,Poder Legislativo,,,TOTAL,Porcentaje Ejer/Modif,99.97201724064867,99.97966276899596,100.0,100.0,99.97637279450628,100.0,0.0,100.0,100.0,99.97754458297867,,
2015,Poder Legislativo,H. Cámara de Diputados,,TOTAL,Aprobado,4294631686.0,1768385426.0,1001241000.0,18002360.0,7082260472.0,256905723.0,0.0,0.0,256905723.0,7339166195.0,96.49952438500407,3.500475614995935
2015,Poder Legislativo,H. Cámara de Diputados,,TOTAL,Modificado,4854640165.3,1797116908.94,1045523980.24,15560056.33,7712841110.81,100009527.1,0.0,0.0,100009527.1,7812850637.91,98.71993550452984,1.2800644954701623
2015,Poder Legislativo,H. Cámara de Diputados,,TOTAL,Devengado,4854640165.3,1797116908.94,1045523980.24,15560056.33,7712841110.81,100009527.1,0.0,0.0,100009527.1,7812850637.91,98.71993550452984,1.2800644954701623
2015,Poder Legislativo,H. Cámara de Diputados,,TOTAL,Ejercicio,4854640165.3,1797116908.94,1045523980.24,15560056.33,7712841110.81,100009527.1,0.0,0.0,100009527.1,7812850637.91,98.71993550452984,1.2800644954701623
2015,Poder Legislativo,H. Cámara de Diputados,,TOTAL,Porcentaje Ejer/Aprob,113.03973239720561,101.62472968378783,104.4228093176368,86.43342500649915,108.90366347443768,38.92849327455426,0.0,0.0,38.92849327455426,106.45419970503885,,
2015,Poder Legislativo,H. Cámara de Diputados,,TOTAL,Porcentaje Ejer/Modif,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,,
2015,Poder Legislativo,H. Cámara de Diputados,,K027,Mantenimiento de Infraestructura,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2015,Poder Legislativo,H. Cámara de Diputados,,K027,Aprobado,0.0,0.0,0.0,0.0,0.0,178368274.0,0.0,0.0,178368274.0,178368274.0,0.0,100.0
2015,Poder Legislativo,H. Cámara de Diputados,,K027,Modificado,0.0,0.0,0.0,0.0,0.0,3281534.39,0.0,0.0,3281534.39,3281534.39,0.0,100.0
2015,Poder Legislativo,H. Cámara de Diputados,,K027,Devengado,0.0,0.0,0.0,0.0,0.0,3281534.39,0.0,0.0,3281534.39,3281534.39,0.0,100.0
2015,Poder Legislativo,H. Cámara de Diputados,,K027,Ejercicio,0.0,0.0,0.0,0.0,0.0,3281534.39,0.0,0.0,3281534.39,3281534.39,0.0,100.0
2015,Poder Legislativo,H. Cámara de Diputados,,K027,Porcentaje Ejer/Aprob,0.0,0.0,0.0,0.0,0.0,1.8397522812829372,0.0,0.0,1.8397522812829372,1.8397522812829372,,
2015,Poder Legislativo,H. Cámara de Diputados,,K027,Porcentaje Ejer/Modif,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,,
2015,Poder Legislativo,H. Cámara de Diputados,,R001,Actividades derivadas del trabajo legislativo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2015,Poder Legislativo,H. Cámara de Diputados,,R001,Aprobado,4294631686.0,1768385426.0,1001241000.0,18002360.0,7082260472.0,78537449.0,0.0,0.0,78537449.0,7160797921.0,98.90323047980898,1.0967695201910166
2015,Poder Legislativo,H. Cámara de Diputados,,R001,Modificado,4854640165.3,1797116908.94,1045523980.24,15560056.33,7712841110.81,96727992.71,0.0,0.0,96727992.71,7809569103.52,98.76141703302936,1.2385829669706343
